,country,iso_code
31859,Netherlands Antilles,ANT
31860,Netherlands Antilles,ANT
31861,Netherlands Antilles,ANT
31862,Netherlands Antilles,ANT
31863,Netherlands Antilles,ANT
31864,Netherlands Antilles,ANT
31865,Netherlands Antilles,ANT
31866,Netherlands Antilles,ANT
31867,Netherlands Antilles,ANT
31868,Netherlands Antilles,ANT
31869,Netherlands Antilles,ANT
31870,Netherlands Antilles,ANT
31871,Netherlands Antilles,ANT
31872,Netherlands Antilles,ANT
31873,Netherlands Antilles,ANT
31874,Netherlands Antilles,ANT
31875,Netherlands Antilles,ANT
31876,Netherlands Antilles,ANT
31877,Netherlands Antilles,ANT
31878,Netherlands Antilles,ANT
31879,Netherlands Antilles,ANT
31880,Netherlands Antilles,ANT
31881,Netherlands Antilles,ANT
31882,Netherlands Antilles,ANT
31883,Netherlands Antilles,ANT
31884,Netherlands Antilles,ANT
31885,Netherlands Antilles,ANT
31886,Netherlands Antilles,ANT
31887,Netherlands Antilles,ANT
31888,Netherlands Antilles,ANT
31889,Netherlands Antilles,ANT
31890,Netherlands Antilles,ANT
31891,Netherlands Antilles,ANT
31892,Netherlands Antilles,ANT
31893,Netherlands Antilles,ANT
31894,Netherlands Antilles,ANT
31895,Netherlands Antilles,ANT
31896,Netherlands Antilles,ANT
31897,Netherlands Antilles,ANT
31898,Netherlands Antilles,ANT
31899,Netherlands Antilles,ANT
31900,Netherlands Antilles,ANT
31901,Netherlands Antilles,ANT
31902,Netherlands Antilles,ANT
31903,Netherlands Antilles,ANT
31904,Netherlands Antilles,ANT
31905,Netherlands Antilles,ANT
31906,Netherlands Antilles,ANT
31907,Netherlands Antilles,ANT
31908,Netherlands Antilles,ANT
31909,Netherlands Antilles,ANT
31910,Netherlands Antilles,ANT
31911,Netherlands Antilles,ANT
31912,Netherlands Antilles,ANT
31913,Netherlands Antilles,ANT
31914,Netherlands Antilles,ANT
31915,Netherlands Antilles,ANT
31916,Netherlands Antilles,ANT
31917,Netherlands Antilles,ANT
31918,Netherlands Antilles,ANT
31919,Netherlands Antilles,ANT
31920,Netherlands Antilles,ANT
31921,Netherlands Antilles,ANT
31922,Netherlands Antilles,ANT
31923,Netherlands Antilles,ANT
31924,Netherlands Antilles,ANT
31925,Netherlands Antilles,ANT
31926,Netherlands Antilles,ANT
31927,Netherlands Antilles,ANT
31928,Netherlands Antilles,ANT
31929,Netherlands Antilles,ANT
31930,Netherlands Antilles,ANT
31931,Netherlands Antilles,ANT
31932,Netherlands Antilles,ANT
31933,Netherlands Antilles,ANT
31934,Netherlands Antilles,ANT
31935,Netherlands Antilles,ANT
31936,Netherlands Antilles,ANT
31937,Netherlands Antilles,ANT
31938,Netherlands Antilles,ANT
31939,Netherlands Antilles,ANT
31940,Netherlands Antilles,ANT
31941,Netherlands Antilles,ANT
31942,Netherlands Antilles,ANT
31943,Netherlands Antilles,ANT
31944,Netherlands Antilles,ANT
31945,Netherlands Antilles,ANT
31946,Netherlands Antilles,ANT
31947,Netherlands Antilles,ANT
31948,Netherlands Antilles,ANT
31949,Netherlands Antilles,ANT
31950,Netherlands Antilles,ANT
31951,Netherlands Antilles,ANT
31952,Netherlands Antilles,ANT
31953,Netherlands Antilles,ANT
31954,Netherlands Antilles,ANT
31955,Netherlands Antilles,ANT
31956,Netherlands Antilles,ANT
31957,Netherlands Antilles,ANT
31958,Netherlands Antilles,ANT
31959,Netherlands Antilles,ANT
31960,Netherlands Antilles,ANT
31961,Netherlands Antilles,ANT
31962,New Caledonia,NCL
31963,New Caledonia,NCL
31964,New Caledonia,NCL
31965,New Caledonia,NCL
31966,New Caledonia,NCL
31967,New Caledonia,NCL
31968,New Caledonia,NCL
31969,New Caledonia,NCL
31970,New Caledonia,NCL
31971,New Caledonia,NCL
31972,New Caledonia,NCL
31973,New Caledonia,NCL
31974,New Caledonia,NCL
31975,New Caledonia,NCL
31976,New Caledonia,NCL
31977,New Caledonia,NCL
31978,New Caledonia,NCL
31979,New Caledonia,NCL
31980,New Caledonia,NCL
31981,New Caledonia,NCL
31982,New Caledonia,NCL
31983,New Caledonia,NCL
31984,New Caledonia,NCL
31985,New Caledonia,NCL
31986,New Caledonia,NCL
31987,New Caledonia,NCL
31988,New Caledonia,NCL
31989,New Caledonia,NCL
31990,New Caledonia,NCL
31991,New Caledonia,NCL
31992,New Caledonia,NCL
31993,New Caledonia,NCL
31994,New Caledonia,NCL
31995,New Caledonia,NCL
31996,New Caledonia,NCL
31997,New Caledonia,NCL
31998,New Caledonia,NCL
31999,New Caledonia,NCL
32000,New Caledonia,NCL
32001,New Caledonia,NCL
32002,New Caledonia,NCL
32003,New Caledonia,NCL
32004,New Caledonia,NCL
32005,New Caledonia,NCL
32006,New Caledonia,NCL
32007,New Caledonia,NCL
32008,New Caledonia,NCL
32009,New Caledonia,NCL
32010,New Caledonia,NCL
32011,New Caledonia,NCL
32012,New Caledonia,NCL
32013,New Caledonia,NCL
32014,New Caledonia,NCL
32015,New Caledonia,NCL
32016,New Caledonia,NCL
32017,New Caledonia,NCL
32018,New Caledonia,NCL
32019,New Caledonia,NCL
32020,New Caledonia,NCL
32021,New Caledonia,NCL
32022,New Caledonia,NCL
32023,New Caledonia,NCL
32024,New Caledonia,NCL
32025,New Caledonia,NCL
32026,New Caledonia,NCL
32027,New Caledonia,NCL
32028,New Caledonia,NCL
32029,New Caledonia,NCL
32030,New Caledonia,NCL
32031,New Caledonia,NCL
32032,New Caledonia,NCL
32033,New Caledonia,NCL
32034,New Caledonia,NCL
32035,New Caledonia,NCL
32036,New Caledonia,NCL
32037,New Caledonia,NCL
32038,New Caledonia,NCL
32039,New Caledonia,NCL
32040,New Caledonia,NCL
32041,New Caledonia,NCL
32042,New Caledonia,NCL
32043,New Caledonia,NCL
32044,New Caledonia,NCL
32045,New Caledonia,NCL
32046,New Caledonia,NCL
32047,New Caledonia,NCL
32048,New Caledonia,NCL
32049,New Caledonia,NCL
32050,New Caledonia,NCL
32051,New Caledonia,NCL
32052,New Caledonia,NCL
32053,New Caledonia,NCL
32054,New Caledonia,NCL
32055,New Caledonia,NCL
32056,New Caledonia,NCL
32057,New Caledonia,NCL
32058,New Caledonia,NCL
32059,New Caledonia,NCL
32060,New Caledonia,NCL
32061,New Caledonia,NCL
32062,New Caledonia,NCL
32063,New Caledonia,NCL
32064,New Caledonia,NCL
32065,New Caledonia,NCL
32066,New Caledonia,NCL
32067,New Caledonia,NCL
32068,New Caledonia,NCL
32069,New Caledonia,NCL
32070,New Caledonia,NCL
32071,New Caledonia,NCL
32072,New Caledonia,NCL
32073,New Caledonia,NCL
32074,New Caledonia,NCL
32075,New Caledonia,NCL
32076,New Caledonia,NCL
32077,New Caledonia,NCL
32078,New Caledonia,NCL
32079,New Caledonia,NCL
32080,New Caledonia,NCL
32081,New Caledonia,NCL
32082,New Caledonia,NCL
32083,New Caledonia,NCL
32084,New Caledonia,NCL
32085,New Caledonia,NCL
32086,New Caledonia,NCL
32087,New Caledonia,NCL
32088,New Caledonia,NCL
32089,New Caledonia,NCL
32090,New Caledonia,NCL
32091,New Caledonia,NCL
32092,New Caledonia,NCL
32093,New Caledonia,NCL
32094,New Caledonia,NCL
32095,New Caledonia,NCL
32096,New Caledonia,NCL
32097,New Caledonia,NCL
32098,New Caledonia,NCL
32099,New Caledonia,NCL
32100,New Caledonia,NCL
32101,New Caledonia,NCL
32102,New Caledonia,NCL
32103,New Caledonia,NCL
32104,New Caledonia,NCL
32105,New Caledonia,NCL
32106,New Caledonia,NCL
32107,New Caledonia,NCL
32108,New Caledonia,NCL
32109,New Caledonia,NCL
32110,New Caledonia,NCL
32111,New Caledonia,NCL
32112,New Caledonia,NCL
32113,New Caledonia,NCL
32114,New Caledonia,NCL
32115,New Caledonia,NCL
32116,New Caledonia,NCL
32117,New Caledonia,NCL
32118,New Caledonia,NCL
32119,New Caledonia,NCL
32120,New Caledonia,NCL
32121,New Caledonia,NCL
32122,New Caledonia,NCL
32123,New Caledonia,NCL
32124,New Caledonia,NCL
32125,New Caledonia,NCL
32126,New Caledonia,NCL
32127,New Caledonia,NCL
32128,New Caledonia,NCL
32129,New Caledonia,NCL
32130,New Caledonia,NCL
32131,New Caledonia,NCL
32132,New Caledonia,NCL
32133,New Caledonia,NCL
32134,New Zealand,NZL
32135,New Zealand,NZL
32136,New Zealand,NZL
32137,New Zealand,NZL
32138,New Zealand,NZL
32139,New Zealand,NZL
32140,New Zealand,NZL
32141,New Zealand,NZL
32142,New Zealand,NZL
32143,New Zealand,NZL
32144,New Zealand,NZL
32145,New Zealand,NZL
32146,New Zealand,NZL
32147,New Zealand,NZL
32148,New Zealand,NZL
32149,New Zealand,NZL
32150,New Zealand,NZL
32151,New Zealand,NZL
32152,New Zealand,NZL
32153,New Zealand,NZL
32154,New Zealand,NZL
32155,New Zealand,NZL
32156,New Zealand,NZL
32157,New Zealand,NZL
32158,New Zealand,NZL
32159,New Zealand,NZL
32160,New Zealand,NZL
32161,New Zealand,NZL
32162,New Zealand,NZL
32163,New Zealand,NZL
32164,New Zealand,NZL
32165,New Zealand,NZL
32166,New Zealand,NZL
32167,New Zealand,NZL
32168,New Zealand,NZL
32169,New Zealand,NZL
32170,New Zealand,NZL
32171,New Zealand,NZL
32172,New Zealand,NZL
32173,New Zealand,NZL
32174,New Zealand,NZL
32175,New Zealand,NZL
32176,New Zealand,NZL
32177,New Zealand,NZL
32178,New Zealand,NZL
32179,New Zealand,NZL
32180,New Zealand,NZL
32181,New Zealand,NZL
32182,New Zealand,NZL
32183,New Zealand,NZL
32184,New Zealand,NZL
32185,New Zealand,NZL
32186,New Zealand,NZL
32187,New Zealand,NZL
32188,New Zealand,NZL
32189,New Zealand,NZL
32190,New Zealand,NZL
32191,New Zealand,NZL
32192,New Zealand,NZL
32193,New Zealand,NZL
32194,New Zealand,NZL
32195,New Zealand,NZL
32196,New Zealand,NZL
32197,New Zealand,NZL
32198,New Zealand,NZL
32199,New Zealand,NZL
32200,New Zealand,NZL
32201,New Zealand,NZL
32202,New Zealand,NZL
32203,New Zealand,NZL
32204,New Zealand,NZL
32205,New Zealand,NZL
32206,New Zealand,NZL
32207,New Zealand,NZL
32208,New Zealand,NZL
32209,New Zealand,NZL
32210,New Zealand,NZL
32211,New Zealand,NZL
32212,New Zealand,NZL
32213,New Zealand,NZL
32214,New Zealand,NZL
32215,New Zealand,NZL
